restaurant_name,dish_name,allergens,guidance_tier,cross_contact
Birria LES,Dumplings - Beef Birria,"gluten (likely, high)",Flagged,unknown
Birria LES,Flan,none flagged,No allergens flagged,unknown
Birria LES,Beef Mulitas,none flagged,No allergens flagged,unknown
Birria LES,Loaded Nachos - Surf & Turf,none flagged,No allergens flagged,unknown
Birria LES,Dumplings - Shrimp,"gluten (likely, high)",Flagged,unknown
Birria LES,Surf & Turf - Beef & Shrimp Taco (1 Taco),none flagged,No allergens flagged,unknown
Birria LES,Chicken Tostadas,none flagged,No allergens flagged,unknown
Birria LES,Chicken Taco with Cheese (1 Taco),none flagged,No allergens flagged,unknown
Birria LES,Empanada - Chicken Birria,"gluten (likely, high)",Flagged,unknown
Birria LES,Consomé Con Linguine,"gluten (likely, high)",Flagged,unknown
Bungalow,Banarasi Puri,gluten (declared),Flagged,unknown
Bungalow,Smoked Sweet Potato Chaat,gluten (declared),Flagged,unknown
Bungalow,Cauliflower 101,none flagged,No allergens flagged,unknown
Bungalow,Achari Stuffed Paneer,none flagged,No allergens flagged,unknown
Bungalow,Yogurt Kabab,gluten (declared),Flagged,unknown
Bungalow,Malwani Fish Tikka,none flagged,No allergens flagged,unknown
Bungalow,Nilgiri Tandoori Prawns,none flagged,No allergens flagged,unknown
Bungalow,Anarkali Chicken,tree nut (declared),Flagged,unknown
Bungalow,Ammi's Lamb Chops,tree nut (declared),Flagged,unknown
Bungalow,Spice Roasted Pineapple,"tree nut (likely, low)",Could modify,unknown
Bungalow,Eggplant Bharta,none flagged,No allergens flagged,unknown
Bungalow,Stuffed Okra,peanut (declared); tree nut (declared),Flagged,unknown
Bungalow,Pudina Aloo,none flagged,No allergens flagged,unknown
Bungalow,Paneer Lazeez,tree nut (declared),Flagged,unknown
Bungalow,Alleppey Shrimp Curry,"peanut (declared); tree nut (likely, low)",Flagged,unknown
Bungalow,Chicken Amritsari,tree nut (declared),Flagged,unknown
Bungalow,Railway Chicken Curry,none flagged,No allergens flagged,unknown
Bungalow,Chicken Biryani,none flagged,No allergens flagged,unknown
Bungalow,Rajasthani Pulled Lamb,none flagged,No allergens flagged,unknown
Bungalow,Lamb Tellicherry Fry,"tree nut (likely, low)",Could modify,unknown
Bungalow,Plain / Butter Tandoori Roti,gluten (declared),Flagged,unknown
Bungalow,Mint Laccha Paratha,gluten (declared),Flagged,unknown
Bungalow,Farmers Sattu Roti,gluten (declared),Flagged,unknown
Bungalow,Plain / Butter Naan,gluten (declared),Flagged,unknown
Bungalow,Garlic Naan,gluten (declared),Flagged,unknown
Bungalow,Five Cheese Kulcha,gluten (declared),Flagged,unknown
Bungalow,Daal Bungalow,none flagged,No allergens flagged,unknown
Bungalow,Old Delhi Chole,none flagged,No allergens flagged,unknown
Bungalow,Cucumber Raita,none flagged,No allergens flagged,unknown
Bungalow,Steamed Basmati Rice,none flagged,No allergens flagged,unknown
Bungalow,Rose Kulfi Falooda,"tree nut (declared); gluten (likely, low)",Flagged,unknown
Bungalow,Molten Chocolate Cake,gluten (declared),Flagged,unknown
Bungalow,Mango Three Way,none flagged,No allergens flagged,unknown
Butter Smashburgers,Single House Burger,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Double House Burger,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Truffle Burger,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Fried Chicken Sandwich,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Veggie Burger,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Regular Fries,none flagged,No allergens flagged,unknown
Butter Smashburgers,Cheese Fries,none flagged,No allergens flagged,unknown
Butter Smashburgers,Truffle Fries,none flagged,No allergens flagged,unknown
Butter Smashburgers,Caramel Sundae,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Chocolate Sundae,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Strawberry Sundae,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Homemade Cookie,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,"Milkshakes (Vanilla, Strawberry, Chocolate)",none flagged,No allergens flagged,unknown
Butter Smashburgers,Single Combo,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Truffle Combo,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Double Combo,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Chicken Combo,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Veggie Combo,"gluten (likely, high)",Flagged,unknown
Butter Smashburgers,Honey Mustard Chicken Sandwich (July Monthly Special),none flagged,Unknown,unknown
Café Maud,Mauds Scone,"gluten (likely, high)",Flagged,unknown
Café Maud,Breakfast Bowl,"gluten (likely, high)",Flagged,unknown
Café Maud,Eggs Benedict,"gluten (likely, high)",Flagged,unknown
Café Maud,Elote Avocado Toast,"gluten (likely, high)",Flagged,unknown
Café Maud,New York Bagel,"gluten (likely, high)",Flagged,unknown
Café Maud,Açaí Bowl,"gluten (likely, medium); tree nut (likely, low)",Could modify,unknown
Café Maud,Lemon Ricotta Pancakes,"gluten (likely, high)",Flagged,unknown
Café Maud,Sunrise Oats Bowl,"gluten (likely, medium)",Could modify,unknown
Café Maud,Breakfast Burrito,"gluten (likely, high)",Flagged,unknown
Café Maud,Chia Yoghurt Power Bowl,"gluten (likely, medium); tree nut (likely, low)",Could modify,unknown
Café Maud,Steak & Eggs,none flagged,No allergens flagged,unknown
Café Maud,Breakfast Platter,"gluten (likely, high)",Flagged,unknown
Café Maud,Bowl Of Fries,none flagged,Unknown,unknown
Café Maud,Avocado,none flagged,Unknown,unknown
Café Maud,Thick Cut Bacon,none flagged,Unknown,unknown
Café Maud,Chicken Sausage,"gluten (likely, medium)",Could modify,unknown
Café Maud,Sourdough Bread,"gluten (likely, high)",Flagged,unknown
Café Maud,Crispy Rice Spicy Tuna,"gluten (likely, medium)",Could modify,unknown
Café Maud,Garlic & Parmesan Flatbread,"gluten (likely, high)",Flagged,unknown
Café Maud,Chicken Lollipops,"gluten (likely, medium)",Could modify,unknown
Café Maud,"Steamed Chicken Dumplings, Buffalo Style","gluten (likely, high)",Flagged,unknown
Café Maud,Whipped Roasted Eggplant,"gluten (likely, high)",Flagged,unknown
Café Maud,Yellowtail Crudo,none flagged,No allergens flagged,unknown
Café Maud,Sweet & Sour Chicken Bites,"gluten (likely, high)",Flagged,unknown
Café Maud,Shrimp Ceviche,none flagged,No allergens flagged,unknown
Café Maud,Pesto & Prosciutto Panuzzo,"gluten (likely, high); tree nut (likely, medium)",Flagged,unknown
Café Maud,Crispy Goat Cheese Bowl,"gluten (likely, medium)",Could modify,unknown
Café Maud,Grilled Chicken Wrap,"gluten (likely, high)",Flagged,unknown
Café Maud,Beet Salad,tree nut (declared),Flagged,unknown
Café Maud,The Rhymers Club Salad,"gluten (likely, high)",Flagged,unknown
Café Maud,Malibu Bowl,"gluten (likely, medium)",Could modify,unknown
Café Maud,Mexican Bowl,none flagged,No allergens flagged,unknown
Café Maud,Soppressata,"gluten (likely, high)",Flagged,unknown
Café Maud,Burrata,"gluten (likely, high)",Flagged,unknown
Café Maud,Crushed Tomato,"gluten (likely, high)",Flagged,unknown
Café Maud,Bianca,"gluten (likely, high)",Flagged,unknown
Café Maud,The Fun Guy,"gluten (likely, high)",Flagged,unknown
Café Maud,Sweet & Salty,"gluten (likely, high)",Flagged,unknown
Café Maud,Smash Burger,"gluten (likely, high)",Flagged,unknown
Café Maud,Southern Fried Chicken Sandwich,"gluten (likely, high)",Flagged,unknown
Café Maud,Chicken Caesar Schnitzel,"gluten (likely, high)",Flagged,unknown
Café Maud,Short Rib Fried Rice,"gluten (likely, medium)",Could modify,unknown
Café Maud,Steak Frites,none flagged,No allergens flagged,unknown
Café Maud,Pesto Rigatoni,"tree nut (declared); gluten (likely, high)",Flagged,unknown
Café Maud,Short Rib Ragu,"gluten (likely, high)",Flagged,unknown
Café Maud,Chocolate Mousse,tree nut (declared),Flagged,unknown
Café Maud,Key Lime Pie,"gluten (likely, high)",Flagged,unknown
Café Maud,Deep Fried Oreo,"gluten (likely, high)",Flagged,unknown
Cafe Mogador,Hummus,none flagged,Unknown,unknown
Cafe Mogador,Falafel and Tahini,"gluten (likely, medium)",Could modify,unknown
Cafe Mogador,Marinated Beets,none flagged,Unknown,unknown
Cafe Mogador,Labne with Za'atar,none flagged,Unknown,unknown
Cafe Mogador,Matbucha,none flagged,No allergens flagged,unknown
Cafe Mogador,Roasted Eggplant and Tahini,none flagged,No allergens flagged,unknown
Cafe Mogador,Babaganoush,none flagged,Unknown,unknown
Cafe Mogador,Spicy Carrots,none flagged,Unknown,unknown
Cafe Mogador,Tabouli,"gluten (likely, high)",Flagged,unknown
Cafe Mogador,Olives and Pickles,none flagged,Unknown,unknown
Cafe Mogador,Cucumber Yogurt,none flagged,Unknown,unknown
Cafe Mogador,Pita (served with all Mezze),gluten (declared),Flagged,unknown
Cafe Mogador,Hummus Platter,"gluten (likely, low)",Could modify,unknown
Cafe Mogador,Seared Halloumi Cheese,gluten (declared),Flagged,unknown
Cafe Mogador,Greek Salad,gluten (declared),Flagged,unknown
Cafe Mogador,Salmon Niçoise Salad,none flagged,No allergens flagged,unknown
Cafe Mogador,Mogador Couscous,gluten (declared),Flagged,unknown
Cafe Mogador,Moroccan Tagine - Chicken,"gluten (likely, low)",Could modify,unknown
Cafe Mogador,Moroccan Tagine - Lamb Shank,"gluten (likely, low)",Could modify,unknown
Cafe Mogador,Kefta Kebab (From the Grill),none flagged,No allergens flagged,unknown
Cafe Mogador,Chicken Kebab (From the Grill),none flagged,No allergens flagged,unknown
Cafe Mogador,Bastilla,gluten (declared); tree nut (declared),Flagged,unknown
Cafe Mogador,Soup of the Day,none flagged,No allergens flagged,unknown
Cafe Mogador,Mixed Grill,none flagged,Unknown,unknown
Cafe Mogador,Merguez Sausage (Main),none flagged,Unknown,unknown
Cafe Mogador,"Couscous with chickpeas, raisins, onions",gluten (declared),Flagged,unknown
Cafe Mogador,Herbed Basmati Rice,none flagged,Unknown,unknown
Cafe Mogador,Green Salad with marinated beets,none flagged,No allergens flagged,unknown
Cafe Mogador,Fries with harissa ketchup,none flagged,No allergens flagged,unknown
Cafe Mogador,Za'atar Fries with harissa ketchup,gluten (declared),Flagged,unknown
Cafe Mogador,Harissa / Schug / Amba / Harissa Aioli,none flagged,No allergens flagged,unknown
Cafe Mogador,Moroccan Sauce,none flagged,No allergens flagged,unknown
Cafe Mogador,Moroccan Eggs,gluten (declared),Flagged,unknown
Cafe Mogador,Country Breakfast,gluten (declared),Flagged,unknown
Cafe Mogador,Buttermilk Pancakes,"gluten (likely, high)",Flagged,unknown
Cafe Mogador,Halloumi Eggs,gluten (declared),Flagged,unknown
Cafe Mogador,Middle Eastern Breakfast,gluten (declared),Flagged,unknown
Cafe Mogador,French Toast,"gluten (likely, high)",Flagged,unknown
Cafe Mogador,Falafel Sandwich,"gluten (likely, medium)",Could modify,unknown
Cafe Mogador,Sabich (roasted eggplant),"gluten (likely, medium)",Could modify,unknown
Cafe Mogador,Seared Salmon Cake,gluten (declared),Flagged,unknown
Cafe Mogador,Chicken Kebab Sandwich,"gluten (likely, medium)",Could modify,unknown
Cafe Mogador,Merguez Sausage Sandwich,"gluten (likely, medium)",Could modify,unknown
Cafe Mogador,Kefta Kebab Sandwich,"gluten (likely, medium)",Could modify,unknown
Cafe Mogador,Mogador Smash Burger,gluten (declared),Flagged,unknown
Cafe Mogador,Peroni / Back Home IPA / Casablanca Moroccan Lager / Persian Blue Lager / Duvel,"gluten (likely, medium)",Could modify,unknown
Cello's Pizzeria,Plain Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Pepperoni Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Burrata Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Chicory Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Margherita Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Vodka Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,White Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Pepperoni & Jalapeno Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Tomato Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Square Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Square Pepperoni Pizza,"gluten (likely, high)",Flagged,unknown
Cello's Pizzeria,Caesar Salad,none flagged,No allergens flagged,unknown
Cello's Pizzeria,House Salad,none flagged,No allergens flagged,unknown
Cello's Pizzeria,Antipasti Salad,none flagged,No allergens flagged,unknown
Cello's Pizzeria,"Canned Soda (Coke, Diet Coke, Sprite, Root Beer, Club Soda)",none flagged,No allergens flagged,unknown
Cello's Pizzeria,Mexican Coke,none flagged,No allergens flagged,unknown
Cello's Pizzeria,Water,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Wine Soaked Chicken 竹林花雕醉鸡,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Sliced Poached Chicken 白斩鸡,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Hangzhou Braised Half Duck 杭州酱鸭,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Crispy Smoked Fish 桂花熏鱼,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Braised Abalone & Calamari 苏杭卤鱿鲍,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Sweet & Sour Pork Riblets 糖醋小排,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Sixi Kaofu 四喜烤麸,gluten (declared),Flagged,unknown
CHELI MANHATTAN 浙里,Spicy Sliced Pork Kidney 麻味腰片,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,'Vegetarian Goose' 灵隐素烧鹅,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Wine Soaked Blue Crab 秋菊花雕醉蟹,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Osmanthus Chinese Yam 桂花山药,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Pork Soup Dumplings 鲜肉小笼,"gluten (likely, high)",Flagged,unknown
CHELI MANHATTAN 浙里,Crab Meat Pork Soup Dumplings 蟹粉小笼,"gluten (likely, high)",Flagged,unknown
CHELI MANHATTAN 浙里,Black Truffle Pork Soup Dumplings 黑松露小笼,"gluten (likely, high)",Flagged,unknown
CHELI MANHATTAN 浙里,Chinese Crispy Lava 黑色流沙酥,"gluten (likely, high)",Flagged,unknown
CHELI MANHATTAN 浙里,Pan Fried Wontons 油煎馄饨,"gluten (likely, high)",Flagged,unknown
CHELI MANHATTAN 浙里,Black Swan Durian Crisps 古道水乡品三酥,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Song Dynasty Steamed Buns 古法米酿馒头,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Brown Sugar Sticky Rice Rolls 红糖麻糍,peanut (declared),Flagged,unknown
CHELI MANHATTAN 浙里,Matcha Milky Rice Cakes 抹茶奶沙糯米糕,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Stuffed Red Dates 心太软,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Osmanthus Rice Cakes 桂花拉糕,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Steamed Dungeness Crab 蛋羹蟹粉蒸大蟹,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Fried Ribbonfish 香煎带鱼,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Qianlong's Favorite Fish Head 乾隆鱼头,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Steamed Yellow Croaker 花雕酒酿蒸黄鱼,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Garlic Shredded Eel 响油鳝丝,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Hot Stone Spicy Chicken & Pork Intestine 鲜椒石锅肥肠鸡,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Sweet & Sour Fish Fillet 松子鱼片,"tree nut (declared); gluten (likely, medium)",Flagged,unknown
CHELI MANHATTAN 浙里,Crispy Duck 西塘古法香酥鸭,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Kung Pao Chicken 宫保鸡丁,"peanut (declared); gluten (likely, medium)",Flagged,unknown
CHELI MANHATTAN 浙里,Shanghai Style Mao Xue Wang 本帮毛血旺,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Salted Ham & Bamboo Shoot Stew 鸡汁杭三鲜,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Stir-Fried Spicy Lobster 香辣龙虾,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Green Chili Shredded Beef 小椒牛肉丝,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Nine-Spice Rabbit 九香兔肉,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Tangerine Crab Meat & Steamed Egg 橙香蟹粉蒸蛋,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Uni Tofu Stew 海胆豆腐,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Pickled Cabbage Fish Stew 浙里也有酸菜鱼,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Hunan Stir Fried Spicy Beef 湘西炒牛肉,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Stir-Fried String Beans 干煸四季豆,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Eggplant in Garlic Sauce 鱼香茄子,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Spicy Crispy Pork Knuckles 西塘香辣猪蹄,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,Che Li's Pork Belly 浙里红烧肉,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Sweet & Sour Crispy Eel 江南脆鳝,"gluten (likely, medium)",Could modify,unknown
CHELI MANHATTAN 浙里,"West Lake Vinegar Fish (labeled on site as ""Chinese Crispy Lava"") 西湖醋鱼",none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Longjing Shrimp 龙井虾仁,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Stir Fried Prawns 香葱油爆虾,none flagged,No allergens flagged,unknown
CHELI MANHATTAN 浙里,Braised Pomfret & Rice Cake 鲳鱼烧年糕,none flagged,Unknown,unknown
CHELI MANHATTAN 浙里,Yellow Lantern Beef Over Silken Tofu 豆花嫩牛肉,none flagged,No allergens flagged,unknown
